2011,,,,,,,,,,,
Jan,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
324,422,243,238,165,112,107,193,145,124,147,103
311,400,242,234,157,124,110,232,141,121,145,99
305,376,239,232,151,134,113,235,135,118,141,98
302,359,235,234,147,133,119,227,131,115,138,100
300,346,232,239,147,128,126,221,130,112,140,104
296,338,229,241,151,121,139,210,133,110,138,110
293,352,225,237,154,120,146,203,137,110,133,115
302,368,222,231,155,123,148,197,140,113,131,126
352,377,221,227,151,120,145,195,142,116,127,140
406,380,218,222,146,127,141,191,157,121,124,150
451,375,216,218,142,129,138,183,164,127,125,155
484,363,213,214,138,130,135,177,165,129,123,155
520,358,213,212,135,137,146,171,162,137,120,154
544,363,212,212,135,134,157,167,160,151,118,153
546,365,208,212,132,121,160,164,154,169,117,155
525,363,207,216,135,112,156,163,145,179,115,153
554,356,209,217,134,110,143,159,143,181,113,156
606,343,212,215,135,109,140,155,146,180,113,163
626,330,220,213,135,110,137,154,144,177,115,176
625,322,237,209,137,109,135,156,149,173,113,182
612,316,271,201,138,108,132,164,160,168,111,191
586,307,287,196,134,108,133,165,160,163,107,200
553,298,284,191,131,113,152,159,158,158,103,199
529,288,274,185,128,116,187,157,153,158,101,196
514,277,263,181,127,118,231,159,155,162,100,194
498,267,256,173,125,125,252,160,146,159,101,198
480,258,254,170,122,131,250,154,137,152,102,207
466,246,251,169,118,126,229,151,134,147,104,211
456,,250,170,114,119,204,155,132,146,104,213
457,,247,169,110,111,187,159,130,146,103,216
442,,243,,108,,181,152,,146,,219
