2012,,,,,,,,,,,
Jan,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
223,338,353,214,174,91,113,114,90,103,113,131
225,316,355,213,173,97,112,126,89,103,115,153
225,285,368,216,180,100,110,134,93,103,118,160
231,253,384,216,185,101,112,129,103,106,119,155
240,237,400,216,179,107,115,122,104,107,123,150
249,230,409,208,174,113,124,115,104,104,128,145
268,212,404,197,170,115,140,109,101,103,133,138
289,201,380,189,174,112,177,115,97,104,134,131
301,199,351,184,172,107,189,115,95,103,138,128
315,203,327,185,168,103,197,112,98,105,144,124
324,202,310,181,168,98,186,112,101,110,150,121
329,199,297,179,161,95,168,116,92,113,151,117
330,196,285,180,154,95,149,118,91,119,150,114
326,188,279,183,149,93,135,115,97,121,149,112
327,187,280,188,146,96,135,112,101,119,146,116
323,192,282,184,141,111,137,111,102,119,138,120
314,200,286,179,140,121,136,112,106,119,130,124
300,203,287,178,139,121,139,106,108,120,127,143
289,210,284,179,136,124,143,102,106,120,121,175
277,229,277,181,129,124,154,104,105,116,116,198
282,256,277,186,125,120,158,100,104,106,115,214
311,269,277,187,121,129,155,93,103,101,113,228
335,264,273,182,118,136,149,92,107,100,111,235
368,261,267,179,119,133,139,93,107,97,111,236
395,259,257,178,114,142,130,97,105,96,109,250
410,267,245,179,108,152,125,96,106,103,105,303
420,288,233,180,104,147,123,97,106,110,103,347
426,314,229,178,101,139,122,94,109,112,102,371
416,341,228,177,96,128,122,89,108,115,107,372
390,,224,177,92,116,114,88,105,113,114,370
363,,219,,91,,114,89,,111,,370
