2013,,,,,,,,,,,
Jan,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
374,294,301,243,255,369,427,143,130,145,172,161
370,353,318,240,250,409,418,154,128,141,165,160
354,383,321,239,243,452,371,164,124,139,156,157
337,406,315,236,232,477,329,153,124,134,149,155
324,432,308,233,223,538,303,145,122,135,148,157
320,448,300,230,223,641,289,139,120,134,149,154
348,457,293,227,231,711,279,142,122,134,154,152
380,453,291,225,234,735,269,162,129,132,158,151
406,438,292,222,229,741,259,179,128,131,165,155
428,425,307,224,231,709,250,176,132,133,172,158
441,412,320,231,232,678,240,172,136,135,179,166
447,394,329,235,231,649,229,167,142,144,177,188
451,376,334,248,234,625,222,167,147,161,179,209
444,358,333,273,243,603,214,171,145,184,181,225
425,338,328,297,249,580,203,170,145,199,182,225
399,318,319,311,248,555,197,162,142,205,179,218
368,305,309,309,245,528,194,154,137,199,175,211
333,294,305,302,240,500,188,144,143,190,169,205
308,284,305,296,239,466,182,135,161,182,164,201
288,279,302,288,245,426,176,130,165,176,161,196
277,274,300,289,245,400,167,127,168,172,167,192
267,270,298,290,254,370,163,124,171,171,177,186
260,262,296,289,257,358,159,122,166,170,178,182
254,258,292,275,259,331,153,124,161,170,176,175
249,257,287,265,256,310,148,125,161,169,173,173
243,254,281,260,254,297,145,121,158,168,171,175
236,258,272,256,262,315,142,118,157,167,171,175
229,274,264,255,275,364,139,116,157,168,169,173
228,,258,256,302,388,137,119,154,179,165,174
228,,253,258,324,411,135,126,152,182,162,174
239,,248,,343,,139,130,,175,,172
