2014,,,,,,,,,,,
Jan,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
171,147,131,136,111,237,91,110,100,185,220,135
170,149,131,129,114,254,90,111,106,176,208,129
168,151,127,128,118,244,90,109,109,177,198,123
166,153,122,125,113,222,89,108,107,177,189,122
165,152,119,123,108,203,86,120,111,175,177,123
163,150,119,121,104,191,84,127,118,175,167,127
161,150,119,119,104,182,80,128,128,171,164,126
160,150,118,114,106,173,81,127,126,171,162,123
165,152,116,109,105,165,87,125,124,173,157,123
170,153,115,110,103,146,97,121,126,159,153,125
177,153,114,108,104,126,121,111,124,145,149,127
177,151,111,105,105,120,141,103,127,143,144,128
175,149,108,108,108,116,148,100,128,139,146,128
171,150,109,107,107,110,151,97,140,137,147,128
167,151,111,106,104,104,144,97,167,135,149,131
162,150,105,107,103,100,132,100,194,137,148,140
164,149,108,107,103,94,119,100,207,142,147,148
166,149,109,107,102,91,109,99,204,149,147,151
167,150,111,109,102,87,103,100,208,151,145,153
167,149,114,110,104,86,96,97,204,151,141,153
165,146,120,107,117,84,91,96,197,155,144,158
162,145,125,108,143,83,90,95,195,162,152,171
160,140,122,106,143,82,88,93,205,167,158,182
162,135,119,103,138,82,90,92,211,173,161,195
163,135,119,101,133,81,91,89,217,194,158,194
165,135,121,100,126,80,103,89,218,217,150,189
163,132,131,103,134,83,107,92,212,238,143,191
159,131,155,101,156,84,106,92,207,248,140,195
157,,160,106,178,87,109,93,202,241,139,190
156,,154,110,200,89,109,93,194,233,138,183
149,,147,,211,,109,95,,228,,180
